;_;À;Á;Â;Ã;Ä;Å;Æ;Ç;È;É;Ê;Ë;Ì;Í;Î;Ï;Ð;Ñ;Ò;Ó;Ô;Õ;Ö;×;Ø;Ù;Û;Ü;Ý;Þ;ß
_;3.5858e-05;0.0019258;0.006001;0.014729;0.0036828;0.0070915;0.0036575;0.0015862;0.0046742;0.0088464;4.2186e-06;0.0089455;0.002567;0.0091902;0.015666;0.01177;0.015092;0.0037946;0.015231;0.006813;0.0049315;0.00070029;0.0022802;0.00032694;0.0051636;0.0010293;9.7028e-05;-;-;0.0025396;6.3279e-05;0.004805
À;0.011711;-;0.00084794;0.0025965;0.00079732;0.002219;0.0028539;0.0010884;0.0032462;0.00017507;0.00082685;0.004554;0.0063342;0.002972;0.0044844;2.1093e-05;0.00087536;0.0019638;0.0042988;0.0041532;0.00010968;0.00014132;0.00092387;0.00012656;0.00091544;0.0011285;0.00026999;-;-;-;0.0022949;0.001814
Á;0.00017929;0.00075302;9.2809e-05;4.2186e-05;-;2.953e-05;0.0022169;1.2656e-05;2.1093e-06;0.00083528;-;0.00019195;0.00085638;7.8044e-05;0.00035436;0.0024932;-;0.0011411;0.0001582;1.0546e-05;0.0011264;-;5.2732e-05;4.2186e-06;8.4372e-06;1.2656e-05;0.00017507;0.003145;0.00015609;2.1093e-06;4.2186e-06;0.00051256
Â;0.004284;0.0060769;8.4372e-06;3.3749e-05;6.3279e-06;0.0002257;0.0047037;-;0.00051467;0.0029319;-;0.00025733;0.00094497;0.00012445;0.0010546;0.0059904;0.00024468;0.00062857;0.0024974;0.00025101;0.00068763;-;6.5388e-05;2.3202e-05;4.8514e-05;0.00049358;2.1093e-06;0.00274;0.0002046;-;-;0.0002953
Ã;0.00047459;0.0011791;-;8.4372e-06;1.8984e-05;0.0012255;0.00022991;-;4.2186e-06;0.00083528;-;0.00014976;0.0017191;1.2656e-05;0.00020249;0.0076146;-;0.0013078;5.2732e-05;2.953e-05;0.00069607;-;8.4372e-06;-;4.8514e-05;-;-;-;-;-;-;-
Ä;0.00078044;0.0042671;4.6405e-05;0.00092387;6.3279e-06;5.906e-05;0.0048408;0.00064756;1.6874e-05;0.0025185;-;0.00026366;0.00070662;4.0077e-05;0.0017296;0.0040667;0.00013289;0.0011243;0.00033749;0.00012023;0.0015524;6.3279e-06;5.4842e-05;0.00024468;5.0623e-05;6.7498e-05;-;0.00064756;0.00054842;-;3.1639e-05;0.00034171
Å;0.014508;7.8044e-05;0.0012593;0.0013162;0.0036955;0.002837;0.001139;0.00071083;0.0012825;9.07e-05;0.0027442;0.001177;0.0053618;0.0039971;0.0079267;0.00025733;0.00092809;0.0069438;0.0043198;0.0074732;0.00012867;0.00011179;0.00054631;0.00039444;0.0010947;0.00087958;0.00068763;-;-;-;0.00021515;0.00021726
Æ;0.000135;0.0011707;6.3279e-06;4.2186e-06;1.0546e-05;0.00083528;0.0034171;1.6874e-05;-;0.0015039;-;0.00014765;2.7421e-05;6.3279e-06;0.0010462;0.00018351;2.1093e-06;2.1093e-06;4.2186e-06;-;0.0004535;-;-;-;5.6951e-05;-;-;-;5.0623e-05;-;-;-
Ç;0.0013162;0.005442;0.00014554;0.00076989;0.00037756;0.00074669;0.00042186;0.00010336;1.2656e-05;0.00032061;-;0.00017718;0.00027421;0.00036491;0.0017001;0.00054842;-;0.00024257;6.3279e-06;1.4765e-05;0.00041131;-;-;4.2186e-06;1.4765e-05;2.1093e-06;-;0.00040499;0.00014132;-;-;0.00020671
È;0.011397;0.00079521;0.00050623;0.0025944;0.00050834;0.0016242;0.0020186;0.00034382;0.0020819;0.00057162;0.0010504;0.0019511;0.003936;0.0027463;0.0031872;0.00016874;0.00019406;0.00070451;0.0037335;0.0047712;2.7421e-05;9.2809e-05;0.0015039;0.00094708;0.00099348;0.00055475;0.00025312;-;-;4.8514e-05;0.00037335;0.0012297
É;0.0058301;-;6.3279e-06;2.1093e-06;-;0.00027843;8.4372e-06;-;2.3202e-05;4.2186e-06;-;0.00012656;0.0001371;9.9137e-05;0.00038178;0.00010336;2.1093e-05;-;0.00051678;0.00053365;-;2.1093e-06;-;7.1716e-05;0.0002046;0.00027843;-;-;-;-;-;-
Ê;0.0035942;0.0072602;1.8984e-05;0.00020882;-;-;0.00076357;3.3749e-05;3.5858e-05;0.0024911;-;5.4842e-05;0.00080364;6.3279e-06;0.00045983;0.0078846;-;0.0025902;0.00015398;0.00066021;0.0017781;2.1093e-06;2.3202e-05;3.7967e-05;-;1.0546e-05;-;-;4.2186e-06;0.00010546;2.1093e-06;-
Ë;0.0045666;0.0049885;3.7967e-05;1.0546e-05;0.00012023;6.3279e-05;0.0043241;0.00028476;2.7421e-05;0.0061887;-;0.00038389;0.00025101;0.00059482;0.00035225;0.005731;2.953e-05;-;0.0011285;0.00016031;0.0015503;4.2186e-06;2.1093e-06;-;8.0153e-05;4.2186e-06;2.1093e-06;0.0009745;0.0039317;4.4295e-05;0.00093231;0.0015609
Ì;0.0054525;0.0028539;3.7967e-05;-;4.6405e-05;-;0.0046384;-;8.4372e-06;0.0030079;-;0.00013289;0.00020038;7.3825e-05;0.0024911;0.004748;0.00016242;8.6481e-05;0.00086692;1.6874e-05;0.0020777;2.7421e-05;2.1093e-06;1.8984e-05;7.1716e-05;6.3279e-06;1.0546e-05;0.0014575;8.8591e-05;1.4765e-05;2.1093e-06;0.00039655
Í;0.0040035;0.011291;6.3279e-06;5.6951e-05;0.00021937;0.00061381;0.010158;1.4765e-05;1.6874e-05;0.0068468;-;0.00038178;2.1093e-06;-;0.0024974;0.010308;4.2186e-06;0.00012445;0.00063068;0.00085638;0.0025058;1.2656e-05;1.4765e-05;0.00027421;0.00020882;1.2656e-05;9.07e-05;0.0034128;0.0010905;-;0.00017085;0.0025291
Î;0.018321;8.4372e-06;0.0036554;0.0058048;0.004497;0.0044612;0.0024573;0.0021536;0.0013647;0.0010968;0.0038917;0.0023835;0.0062709;0.0052311;0.0072497;0.00022991;0.0011432;0.0050918;0.0058428;0.0067244;0.00020671;0.00017507;0.00055053;0.00012023;0.0023118;0.00090278;0.00023835;-;-;7.5935e-05;0.00037967;0.00074247
Ï;5.0623e-05;0.0015567;-;-;-;-;0.0018035;-;-;0.00095551;-;0.00013289;0.00094708;-;0.00017929;0.0093611;3.1639e-05;0.0064249;6.3279e-06;5.2732e-05;0.00076779;2.1093e-06;-;2.1093e-06;9.7028e-05;6.3279e-06;-;0.00035858;8.2263e-05;2.1093e-06;-;0.00029952
Ð;0.00078677;0.0073678;5.2732e-05;0.00035225;0.0002257;0.00040499;0.0059524;0.00036491;5.0623e-05;0.0049653;-;0.00030585;0.00029741;0.00037335;0.00085427;0.0068236;0.00015398;8.4372e-05;0.00039655;0.00085427;0.0026155;2.1093e-05;0.00014132;3.1639e-05;8.4372e-05;0.00022148;1.4765e-05;0.0013162;0.00063279;7.5935e-05;0.00024257;0.00096817
Ñ;0.002856;0.0015904;7.1716e-05;0.0014238;2.3202e-05;0.0002489;0.0034698;6.5388e-05;2.1093e-06;0.001736;-;0.0035563;0.0028792;0.0011348;0.0012255;0.0028096;0.001736;0.00024679;0.0010399;0.012;0.00069818;2.3202e-05;0.00017507;4.6405e-05;0.00033749;9.7028e-05;-;0.00050201;0.002991;0.0001139;0.00016453;0.0040836
Ò;0.0064587;0.0056023;5.0623e-05;0.0022865;1.4765e-05;0.00012023;0.0062667;-;6.3279e-06;0.0041996;-;0.00066443;0.00036069;4.8514e-05;0.0013162;0.012696;0.00012656;0.0030437;0.0021768;8.6481e-05;0.0013774;8.4372e-06;8.4372e-06;0.00010968;0.0001139;1.2656e-05;4.4295e-05;0.0017739;0.0058027;0.0001139;5.0623e-05;0.00063279
Ó;0.0049062;6.5388e-05;0.00083106;0.00073615;0.00097661;0.0019005;0.00036913;0.0013352;0.00036491;0.00010757;0.00024046;0.00093653;0.001371;0.0010483;0.00025101;6.7498e-05;0.00080364;0.00048514;0.0012529;0.0014807;6.3279e-06;1.6874e-05;0.00034803;2.1093e-06;0.0008627;0.00060537;0.00028265;-;-;4.8514e-05;0.0010399;4.4295e-05
Ô;1.6874e-05;0.00015187;-;-;1.8984e-05;-;0.00027843;-;-;0.00024046;-;-;4.8514e-05;2.1093e-06;2.1093e-06;0.00034382;-;8.2263e-05;2.1093e-06;4.8514e-05;8.0153e-05;8.0153e-05;-;-;4.2186e-06;-;-;1.6874e-05;2.1093e-06;-;2.1093e-06;-
Õ;0.0022738;0.00058217;-;0.00021726;2.1093e-06;-;3.3749e-05;-;-;0.00022991;-;-;9.2809e-05;0.00018984;0.00017296;0.0031492;-;0.00012867;3.1639e-05;1.2656e-05;0.00012445;-;6.3279e-06;-;2.1093e-06;1.6874e-05;-;-;4.2186e-06;4.2186e-06;-;-
Ö;0.00020038;0.00061381;-;7.8044e-05;-;2.1093e-06;0.00087536;-;-;0.00039866;-;1.8984e-05;-;2.1093e-06;-;0.00026366;2.1093e-06;-;-;-;0.0001582;-;-;-;-;-;-;0.00021093;-;-;-;-
×;2.7421e-05;0.0021072;-;4.2186e-06;-;-;0.0041743;-;-;0.0015967;-;0.00031639;1.6874e-05;2.1093e-06;0.0009534;6.7498e-05;-;8.4372e-06;-;0.0034698;0.00083528;-;-;-;-;0.00013289;-;-;0.00026788;-;-;-
Ø;0.00015398;0.0010399;-;1.6874e-05;-;-;0.0022591;-;-;0.0013879;-;0.00041131;0.00049358;1.6874e-05;0.00031639;0.0004535;1.0546e-05;1.4765e-05;-;5.6951e-05;0.00031007;-;-;1.0546e-05;-;-;-;-;0.00054842;-;4.2186e-06;-
Ù;4.2186e-06;0.00043663;-;-;-;-;0.0012171;-;-;0.00078044;-;-;-;-;8.6481e-05;2.1093e-06;-;-;-;-;0.0001371;-;-;-;-;-;-;-;6.3279e-05;-;-;-
Û;0.004478;-;0.00039444;0.0011686;0.00014976;0.00010336;0.0010779;6.7498e-05;6.117e-05;6.3279e-06;0.001563;0.00022991;0.0016389;0.0010715;0.00018351;-;0.0001371;0.00027421;0.00064966;0.00067709;4.2186e-06;-;0.00098504;8.4372e-06;0.00021515;0.00043452;4.4295e-05;-;-;-;-;3.1639e-05
Ü;0.0072201;-;7.1716e-05;1.8984e-05;3.7967e-05;4.6405e-05;0.0004999;-;0.00013921;4.0077e-05;-;0.00094708;-;0.00029319;0.0014217;1.6874e-05;2.1093e-06;-;0.00097239;0.000135;-;6.3279e-06;-;0.00020671;5.6951e-05;0.00050623;1.0546e-05;-;-;-;0.00048936;0.00035858
Ý;4.2186e-06;-;9.7028e-05;2.1093e-06;1.6874e-05;1.0546e-05;2.1093e-06;-;1.4765e-05;-;4.8514e-05;0.00011812;0.00010546;4.0077e-05;0.00019827;-;1.2656e-05;0.00013289;2.7421e-05;0.0024679;-;8.4372e-06;1.6874e-05;-;-;2.1093e-06;-;-;-;2.1093e-06;2.1093e-06;6.3279e-06
Þ;0.0027273;-;0.00030163;4.2186e-06;2.1093e-05;0.0003628;-;2.1093e-05;1.8984e-05;-;1.0546e-05;2.7421e-05;2.953e-05;6.117e-05;5.2732e-05;-;2.1093e-06;6.7498e-05;0.00066232;0.00041975;-;-;1.4765e-05;-;0.00020249;1.0546e-05;0.00037335;-;-;-;2.953e-05;-
ß;0.011462;-;1.6874e-05;0.00032694;0.00018773;0.00069396;0.00037756;0.00022991;0.00024468;5.0623e-05;2.953e-05;0.00012445;0.00057584;0.00034382;0.00058217;-;2.953e-05;0.000135;0.00051889;0.0013668;-;-;0.00016453;6.117e-05;9.9137e-05;3.3749e-05;0.0002046;-;-;-;0.00023202;8.0153e-05
